GVKEY,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,adrr,curcd,pddur,upd,at,capx,ceq,csho,dlc,dltt,gdwl,oiadp,sale,cik,costat,fic,sich,prcc_f
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,1996-12-31,1996,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,20497.0000,547.0000,5668.0000,91.0000,554.0000,4542.0000,0.0000,1865.0000,17753.0000,0000006201,A,USA,4512,88.125000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,1997-12-31,1997,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,20915.0000,1390.0000,6216.0000,86.5990,532.0000,3889.0000,0.0000,1926.0000,18570.0000,0000006201,A,USA,4512,128.500000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,1998-12-31,1998,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,22303.0000,2661.0000,6698.0000,161.3510,202.0000,4200.0000,0.0000,2338.0000,19205.0000,0000006201,A,USA,4512,59.375000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,1999-12-31,1999,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,24374.0000,3539.0000,6858.0000,148.2450,538.0000,5689.0000,0.0000,1156.0000,17730.0000,0000006201,A,USA,4512,67.000000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2000-12-31,2000,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,26213.0000,3678.0000,7176.0000,152.0630,796.0000,5474.0000,0.0000,1381.0000,19703.0000,0000006201,A,USA,4512,39.187500000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2001-12-31,2001,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,32841.0000,3640.0000,5373.0000,154.4850,772.0000,9834.0000,1392.0000,-1860.0000,18963.0000,0000006201,A,USA,4512,22.300000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2002-12-31,2002,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,30267.0000,1881.0000,957.0000,156.0890,868.0000,12310.0000,0.0000,-2622.0000,17299.0000,0000006201,A,USA,4512,6.600000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2003-12-31,2003,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,29330.0000,680.0000,46.0000,159.5820,804.0000,13126.0000,0.0000,-795.0000,17440.0000,0000006201,A,USA,4512,12.950000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2004-12-31,2004,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,28773.0000,1027.0000,-581.0000,161.1560,806.0000,13524.0000,0.0000,-133.0000,18645.0000,0000006201,A,USA,4512,10.950000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2005-12-31,2005,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,29495.0000,681.0000,-1478.0000,182.7320,1239.0000,13456.0000,0.0000,102.0000,20712.0000,0000006201,A,USA,4512,22.230000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2006-12-31,2006,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,29145.0000,530.0000,-606.0000,222.2240,1349.0000,12041.0000,0.0000,1060.0000,22563.0000,0000006201,A,USA,4512,30.230000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2007-12-31,2007,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,28571.0000,714.0000,2657.0000,249.3980,1049.0000,10093.0000,0.0000,1029.0000,22896.0000,0000006201,A,USA,4512,14.030000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2008-12-31,2008,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,25175.0000,876.0000,-2935.0000,278.9490,1956.0000,9001.0000,0.0000,-573.0000,23766.0000,0000006201,A,USA,4512,10.670000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2009-12-31,2009,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,25438.0000,1521.0000,-3489.0000,332.6240,1114.0000,10583.0000,0.0000,-745.0000,19917.0000,0000006201,A,USA,4512,7.730000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2010-12-31,2010,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,25088.0000,1962.0000,-3945.0000,333.4500,1883.0000,9253.0000,0.0000,308.0000,22170.0000,0000006201,A,USA,4512,7.790000000000
001045,P,01,LC,21020,20010,1962-01-31,2012-01-04,2011-12-31,2011,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,,USD,12,3,23848.0000,1610.0000,-7111.0000,335.2680,1518.0000,6702.0000,0.0000,-286.0000,24022.0000,0000006201,A,USA,4512,0.350000000000
001075,P,01,LU,27991,21409,1962-01-31,E,1996-12-31,1996,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,,USD,12,3,6989.2850,258.5980,1970.3230,87.5160,173.1770,2372.1130,,543.8590,1817.7600,0000764622,A,USA,4911,31.750000000000
