Ticker,Year,Fiscal_Year_End,Name,Sector_Key,Industry_Key,Total_Assets,Current_Assets,Current_Liab,Retained_Earnings,Total_Liab,Total_Debt,Shares_Number,EBIT,Sales,Int_Exp,Market_Cap,Closing_Price,Closing_Price_Date,prev_debt,avg_debt,AvgCost_of_Debt,Z_Score,Z_Score_lag
AAL,2021,2021-12-31,"American Airlines Group, Inc.",industrials,airlines,66467000000.0,17336000000.0,19006000000.0,-8638000000.0,73807000000.0,46177000000.0,647727595.0,-748000000.0,29882000000.0,1800000000.0,11633187013.187675,17.959999084472656,2021-12-31,,,,0.2949158225498142,
AAP,2021,2021-12-31,Advance Auto Parts Inc.,consumer-cyclical,auto-parts,12194209000.0,6275476000.0,5180307000.0,4605791000.0,9065918000.0,3371971000.0,62009000.0,820284000.0,10997989000.0,37791000.0,13502133317.123411,217.74473571777344,2021-12-31,,,,2.6540424910699985,
ABBV,2021,2021-12-31,AbbVie Inc.,healthcare,drug-manufacturers-general,146529000000.0,27928000000.0,35194000000.0,3127000000.0,131093000000.0,76684000000.0,1768337696.0,15412000000.0,56197000000.0,2423000000.0,206474688369.2129,116.76202392578124,2021-12-31,,,,1.6460035900272993,
ABT,2021,2021-12-31,Abbott Laboratories,healthcare,medical-devices,75196000000.0,24239000000.0,13105000000.0,31528000000.0,39172000000.0,19006000000.0,1764082193.0,8744000000.0,43075000000.0,533000000.0,230342119849.55164,130.57334899902344,2021-12-31,,,,5.249402641095259,
ADBE,2021,2021-11-30,Adobe Inc.,technology,software-application,27241000000.0,8669000000.0,6932000000.0,23905000000.0,12444000000.0,4673000000.0,475000000.0,5818000000.0,15785000000.0,113000000.0,318178738403.3203,669.8499755859375,2021-11-30,,,,17.930633420114564,
ADM,2021,2021-12-31,Archer-Daniels-Midland Company,consumer-defensive,farm-products,56136000000.0,31909000000.0,21948000000.0,21655000000.0,33369000000.0,10581000000.0,560000000.0,3578000000.0,85249000000.0,265000000.0,33724593505.85937,60.22248840332031,2021-12-31,,,,3.0883412551193956,
AEE,2021,2021-12-31,Ameren Corporation,utilities,utilities-regulated-electric,35735000000.0,1968000000.0,2826000000.0,3182000000.0,25906000000.0,13612000000.0,257700000.0,1535000000.0,6394000000.0,383000000.0,20341889005.27954,78.93631744384766,2021-12-31,,,,0.887661542090408,
AEP,2021,2021-12-31,American Electric Power Company,utilities,utilities-regulated-electric,87668700000.0,7809200000.0,12426700000.0,11667100000.0,64988500000.0,36658900000.0,504212015.0,3711000000.0,16792000000.0,1199100000.0,38695621683.733406,76.74474334716797,2021-12-31,,,,0.8115917677676133,
AES,2021,2021-12-31,The AES Corporation,utilities,utilities-diversified,32963000000.0,5356000000.0,4732000000.0,-1089000000.0,28396000000.0,18699000000.0,666793625.0,-153000000.0,11141000000.0,911000000.0,13808836240.62705,20.70931053161621,2021-12-31,,,,0.5909094328023861,
AFL,2021,2021-12-31,AFLAC Incorporated,financial-services,insurance-life,157542000000.0,,,41381000000.0,124289000000.0,7956000000.0,652132000.0,5446000000.0,21546000000.0,238000000.0,34735454842.84973,53.26445388793945,2021-12-31,,,,,
AIG,2021,2021-12-31,"American International Group, I",financial-services,insurance-diversified,596112000000.0,,,23785000000.0,527200000000.0,30163000000.0,818687363.0,14652000000.0,51985000000.0,1305000000.0,42567258184.176926,51.99452209472656,2021-12-31,,,,,
AIZ,2021,2021-12-31,"Assurant, Inc.",financial-services,insurance-property-casualty,33920600000.0,,,4041200000.0,28456500000.0,2202500000.0,55754113.0,883100000.0,10187600000.0,111800000.0,8110540677.286224,145.46981811523438,2021-12-31,,,,,
AJG,2021,2021-12-31,Arthur J. Gallagher & Co.,financial-services,insurance-brokers,33345000000.0,17670400000.0,16735000000.0,2882300000.0,24784900000.0,6592900000.0,208500000.0,1201200000.0,8209400000.0,226100000.0,34000825080.871586,163.07350158691406,2021-12-31,,,,1.3428516571056275,
AKAM,2021,2021-12-31,"Akamai Technologies, Inc.",technology,software-infrastructure,8138673000.0,1920434000.0,790341000.0,1256692000.0,3608659000.0,2858937000.0,160512111.0,800553000.0,3461223000.0,72332000.0,18786337618.393227,117.04000091552734,2021-12-31,,,,4.256225266854844,
ALB,2021,2021-12-31,Albemarle Corporation,basic-materials,specialty-chemicals,10974118000.0,1993681000.0,1874335000.0,3096539000.0,5168511000.0,2521236000.0,117015000.0,195094000.0,3327957000.0,61476000.0,25991614057.617188,222.1220703125,2021-12-31,,,,3.7873099340817515,
ALGN,2021,2021-12-31,"Align Technology, Inc.",healthcare,medical-instruments-supplies,5942110000.0,2494075000.0,1924071000.0,2619374000.0,2319396000.0,125375000.0,78710000.0,976400000.0,3952584000.0,0.0,51726637223.51074,657.1799926757812,2021-12-31,,,,15.320749094227283,
ALK,2021,2021-12-31,"Alaska Air Group, Inc.",industrials,airlines,13951000000.0,3920000000.0,3991000000.0,4242000000.0,10150000000.0,4086000000.0,125905864.0,746000000.0,6176000000.0,117000000.0,6559695322.282898,52.09999847412109,2021-12-31,,,,1.4265008152368703,
ALL,2021,2021-12-31,Allstate Corporation (The),financial-services,insurance-property-casualty,99440000000.0,,,53294000000.0,74313000000.0,7976000000.0,281000000.0,6796000000.0,48680000000.0,330000000.0,30009866134.643555,106.7966766357422,2021-12-31,,,,,
ALLE,2021,2021-12-31,Allegion plc,industrials,security-protection-services,3051000000.0,1117600000.0,601200000.0,952600000.0,2288600000.0,1442100000.0,88215625.0,574200000.0,2867400000.0,50200000.0,11067046302.771568,125.4544906616211,2021-12-31,,,,5.102544424278888,
AMD,2021,2021-12-31,"Advanced Micro Devices, Inc.",technology,semiconductors,12419000000.0,8583000000.0,4240000000.0,-1451000000.0,4922000000.0,661000000.0,1207000000.0,3703000000.0,16434000000.0,34000000.0,173687292633.05664,143.89999389648438,2021-12-31,,,,23.736108766210293,
AME,2021,2021-12-31,"AMETEK, Inc.",industrials,specialty-industrial-machinery,11898187000.0,2128765000.0,1563314000.0,7900113000.0,5026303000.0,2720695000.0,231662296.0,1303551000.0,5546514000.0,80381000.0,33173287149.48169,143.19674682617188,2021-12-31,,,,5.774266966816611,
AMGN,2021,2021-12-31,Amgen Inc.,healthcare,drug-manufacturers-general,61165000000.0,19385000000.0,12184000000.0,-24600000000.0,54465000000.0,33309000000.0,558300000.0,7898000000.0,25979000000.0,1197000000.0,110624151429.74854,198.14463806152344,2021-12-31,,,,1.647725566210017,
